timestamp,station_id,flow,occupancy,speed,hour,dayofweek,speed_30min_ahead,speed_60min_ahead
2026-04-21 20:35:00,737258,73.0,0.0364,64.8,20,1,65.0,65.1
2026-04-23 00:10:00,769294,17.0,0.0083,65.3,0,3,65.1,60.4
2026-04-24 11:45:00,762588,123.0,0.0716,61.5,11,4,61.2,62.5
2026-04-27 00:05:00,762533,21.0,0.0108,65.1,0,0,65.1,65.1
2026-04-24 16:45:00,766843,445.0,0.2265,23.1,16,4,22.0,63.8
2026-04-23 17:35:00,767495,125.0,0.0906,58.2,17,3,60.4,65.1
2026-04-24 16:05:00,762594,122.0,0.085,59.7,16,4,59.8,61.8
2026-04-25 20:50:00,764417,406.0,0.0772,64.8,20,5,68.1,68.6
2026-04-23 07:50:00,717750,525.0,0.1388,57.9,7,3,58.0,67.3
2026-04-28 09:00:00,717224,583.0,0.1212,59.5,9,1,60.1,70.4
2026-04-24 16:50:00,717572,301.0,0.2891,30.8,16,4,49.3,65.5
2026-04-25 03:35:00,774085,7.0,0.0037,65.1,3,5,65.0,62.7
2026-04-28 08:30:00,717560,116.0,0.0698,61.6,8,1,62.0,65.1
2026-04-25 05:10:00,761076,19.0,0.009,65.1,5,5,65.1,65.1
2026-04-29 07:50:00,776066,796.0,0.2565,42.3,7,2,44.4,68.8
2026-04-23 15:40:00,769983,125.0,0.086,60.4,15,3,60.0,62.3
2026-04-26 06:15:00,717755,368.0,0.0689,72.5,6,6,74.0,64.0
2026-04-21 20:15:00,776066,710.0,0.0955,65.7,20,1,66.1,53.0
2026-04-28 01:55:00,762588,5.0,0.0026,65.0,1,1,65.0,65.1
2026-04-23 05:00:00,737232,56.0,0.0227,65.7,5,3,65.3,65.3
2026-04-26 16:30:00,763251,490.0,0.1228,56.1,16,6,56.8,47.0
2026-04-24 20:55:00,775463,95.0,0.045,64.9,20,4,65.3,60.3
2026-04-29 08:00:00,774615,122.0,0.075,61.6,8,2,61.6,61.7
2026-04-27 21:20:00,717560,60.0,0.0309,65.1,21,0,65.3,62.7
2026-04-27 00:35:00,773154,121.0,0.023,69.3,0,0,69.3,68.7
2026-04-29 19:05:00,717035,479.0,0.1926,41.9,19,2,52.8,64.2
2026-04-28 15:30:00,766875,450.0,0.126,58.6,15,1,58.1,65.7
2026-04-29 19:30:00,718379,442.0,0.0924,66.2,19,2,66.9,68.6
2026-04-28 22:10:00,717755,366.0,0.2329,60.3,22,1,76.2,30.6
2026-04-29 22:40:00,717572,200.0,0.0497,64.9,22,2,65.5,65.0
2026-04-25 14:55:00,763259,637.0,0.1338,56.9,14,5,56.5,62.1
2026-04-23 00:25:00,762640,14.0,0.0071,65.1,0,3,65.1,62.4
2026-04-22 07:55:00,763522,123.0,0.0761,61.4,7,2,61.5,62.9
2026-04-30 16:25:00,717842,501.0,0.1476,53.4,16,3,51.9,68.1
2026-04-26 06:50:00,767495,23.0,0.0128,65.1,6,6,65.2,62.5
2026-04-22 23:25:00,717035,236.0,0.0554,69.0,23,2,68.6,67.4
2026-04-21 08:00:00,762588,118.0,0.072,61.7,8,1,61.6,65.0
2026-04-30 18:25:00,772092,124.0,0.0792,61.8,18,3,63.3,62.9
2026-04-29 08:25:00,759967,121.0,0.0735,61.5,8,2,61.8,65.0
2026-04-28 01:30:00,718404,141.0,0.0401,67.2,1,1,67.1,65.3
2026-04-27 22:35:00,717906,254.0,0.0506,68.5,22,0,68.3,67.8
2026-04-24 13:25:00,766963,127.0,0.079,60.8,13,4,60.7,61.6
2026-04-30 06:50:00,716939,506.0,0.307,25.2,6,3,20.7,69.7
2026-04-28 18:20:00,763251,459.0,0.2605,31.3,18,1,39.3,67.6
2026-04-25 09:25:00,717842,478.0,0.0945,63.6,9,5,63.0,68.1
2026-04-26 08:50:00,766336,348.0,0.0682,66.8,8,6,65.6,33.2
2026-04-22 01:00:00,764151,95.0,0.0209,67.9,1,2,67.8,57.8
2026-04-24 05:35:00,763522,100.0,0.0429,65.2,5,4,64.7,61.0
2026-04-23 00:50:00,717758,88.0,0.02,63.4,0,3,63.4,62.4
2026-04-22 22:55:00,766336,281.0,0.0644,69.2,22,2,68.4,67.2
2026-04-30 02:30:00,737232,5.0,0.0027,65.4,2,3,65.4,60.7
2026-04-21 13:10:00,760440,486.0,0.1117,60.0,13,1,59.8,60.3
2026-04-24 22:20:00,717097,236.0,0.3002,31.6,22,4,38.7,66.5
2026-04-25 15:20:00,718310,419.0,0.057,65.3,15,5,65.3,65.5
2026-04-27 13:45:00,718331,118.0,0.0657,62.1,13,0,61.8,62.8
2026-04-28 03:15:00,718310,103.0,0.0196,66.0,3,1,65.8,66.0
